Dates,Category,DayOfWeek,PdDistrict,Address,X,Y
2015-05-13 21:11:00,WARRANTS,Wednesday,TENDERLOIN,100 Block of JONES ST,-122.4122497676,37.7825563302
2015-05-13 21:11:00,NON-CRIMINAL,Wednesday,TENDERLOIN,100 Block of JONES ST,-122.4122497676,37.7825563302
2015-05-13 21:10:00,LARCENY/THEFT,Wednesday,NORTHERN,FILLMORE ST / LOMBARD ST,-122.4360492036,37.7998412229
2015-05-13 21:00:00,NON-CRIMINAL,Wednesday,TENDERLOIN,300 Block of OFARRELL ST,-122.4105092588,37.7860432223
2015-05-13 21:00:00,LARCENY/THEFT,Wednesday,NORTHERN,2000 Block of BUSH ST,-122.431017557,37.7873880712
2015-05-13 21:00:00,LARCENY/THEFT,Wednesday,INGLESIDE,500 Block of COLLEGE AV,-122.4236563429,37.7325564882
2015-05-13 21:00:00,LARCENY/THEFT,Wednesday,TARAVAL,19TH AV / SANTIAGO ST,-122.4757734979,37.7449190696
2015-05-13 20:56:00,OTHER OFFENSES,Wednesday,TARAVAL,2000 Block of 41ST AV,-122.4997871207,37.7485176035
2015-05-13 20:54:00,LARCENY/THEFT,Wednesday,NORTHERN,1300 Block of WEBSTER ST,-122.4310463661,37.7830295716
2015-05-13 20:50:00,NON-CRIMINAL,Wednesday,MISSION,400 Block of CASTRO ST,-122.4351500998,37.7617597244
2015-05-13 20:45:00,VANDALISM,Wednesday,NORTHERN,1500 Block of FILLMORE ST,-122.4327438226,37.7838424506
2015-05-13 20:30:00,LARCENY/THEFT,Wednesday,NORTHERN,1600 Block of WEBSTER ST,-122.4313095407,37.7858706273
2015-05-13 20:30:00,VANDALISM,Wednesday,NORTHERN,1600 Block of WEBSTER ST,-122.4313095407,37.7858706273
2015-05-13 20:30:00,LARCENY/THEFT,Wednesday,SOUTHERN,KING ST / 3RD ST,-122.3918456172,37.7781247783
2015-05-13 20:30:00,LARCENY/THEFT,Wednesday,NORTHERN,VALLEJO ST / BUCHANAN ST,-122.4318307238,37.7956417033
2015-05-13 20:30:00,LARCENY/THEFT,Wednesday,NORTHERN,CALIFORNIA ST / BUCHANAN ST,-122.4305517798,37.7893227716
2015-05-13 20:29:00,WEAPON LAWS,Wednesday,TARAVAL,1400 Block of HOLLOWAY AV,-122.4731820296,37.7215647406
2015-05-13 20:25:00,VANDALISM,Wednesday,INGLESIDE,0 Block of WINDING WY,-122.4324464629,37.7108326541
2015-05-13 20:23:00,NON-CRIMINAL,Wednesday,SOUTHERN,700 Block of MARKET ST,-122.4052948452,37.7863072236
2015-05-13 20:15:00,LARCENY/THEFT,Wednesday,SOUTHERN,1600 Block of MARKET ST,-122.4221275795,37.7730330184
2015-05-13 20:15:00,LARCENY/THEFT,Wednesday,TENDERLOIN,0 Block of STOCKTON ST,-122.4063518343,37.7860311576
2015-05-13 20:06:00,OTHER OFFENSES,Wednesday,BAYVIEW,300 Block of WILLIAMS AV,-122.3994436589,37.7301760162
2015-05-13 20:06:00,OTHER OFFENSES,Wednesday,BAYVIEW,300 Block of WILLIAMS AV,-122.3994436589,37.7301760162
2015-05-13 20:00:00,OTHER OFFENSES,Wednesday,CENTRAL,800 Block of LEAVENWORTH ST,-122.4152120314,37.7888714498
2015-05-13 20:00:00,VEHICLE THEFT,Wednesday,INGLESIDE,0 Block of CRESCENT AV,-122.4237023253,37.7352327878
2015-05-13 20:00:00,LARCENY/THEFT,Wednesday,TARAVAL,LINCOLN WY / 14TH AV,-122.4717998274,37.7656866988
2015-05-13 19:55:00,NON-CRIMINAL,Wednesday,CENTRAL,SUTTER ST / POWELL ST,-122.4085973867,37.7892242059
2015-05-13 19:52:00,BURGLARY,Wednesday,PARK,1500 Block of HAIGHT ST,-122.4477611223,37.7698464875
2015-05-13 19:33:00,ROBBERY,Wednesday,BAYVIEW,23RD ST / WISCONSIN ST,-122.3986955897,37.7547456011
2015-05-13 19:33:00,ASSAULT,Wednesday,BAYVIEW,23RD ST / WISCONSIN ST,-122.3986955897,37.7547456011
2015-05-13 19:30:00,LARCENY/THEFT,Wednesday,SOUTHERN,0 Block of 3RD ST,-122.4032848431,37.787306416
2015-05-13 19:30:00,LARCENY/THEFT,Wednesday,SOUTHERN,500 Block of BRANNAN ST,-122.3976155679,37.7773918243
2015-05-13 19:30:00,SUSPICIOUS OCC,Wednesday,SOUTHERN,OTIS ST / GOUGH ST,-122.4203472088,37.7717690722
2015-05-13 19:30:00,LARCENY/THEFT,Wednesday,SOUTHERN,MISSION ST / 2ND ST,-122.3998021458,37.7880065324
2015-05-13 19:30:00,LARCENY/THEFT,Wednesday,NORTHERN,GEARY ST / VANNESS AV,-122.4213958191,37.7856843389
2015-05-13 19:30:00,LARCENY/THEFT,Wednesday,SOUTHERN,HARRISON ST / 10TH ST,-122.41127919,37.7715785765
2015-05-13 19:30:00,LARCENY/THEFT,Wednesday,NORTHERN,GEARY BL / LAGUNA ST,-122.4279911519,37.7849531242
2015-05-13 19:28:00,VEHICLE THEFT,Wednesday,CENTRAL,0 Block of SANSOME ST,-122.4007197858,37.7907124696
2015-05-13 19:28:00,VEHICLE THEFT,Wednesday,CENTRAL,0 Block of SANSOME ST,-122.4007197858,37.7907124696
2015-05-13 19:26:00,DRUNKENNESS,Wednesday,CENTRAL,900 Block of BUSH ST,-122.4129289552,37.7896868266
2015-05-13 19:26:00,SUSPICIOUS OCC,Wednesday,CENTRAL,900 Block of BUSH ST,-122.4129289552,37.7896868266
2015-05-13 19:19:00,NON-CRIMINAL,Wednesday,SOUTHERN,0 Block of MARKET ST,-122.3950977742,37.7940590486
2015-05-13 19:15:00,LARCENY/THEFT,Wednesday,SOUTHERN,300 Block of 10TH ST,-122.4116366219,37.7717869351
2015-05-13 19:15:00,LARCENY/THEFT,Wednesday,TARAVAL,19TH AV / WINSTON DR,-122.4748991517,37.726990531
2015-05-13 19:11:00,WARRANTS,Wednesday,TENDERLOIN,400 Block of HYDE ST,-122.4162358524,37.7849125738
2015-05-13 19:11:00,WARRANTS,Wednesday,TENDERLOIN,400 Block of HYDE ST,-122.4162358524,37.7849125738
2015-05-13 19:11:00,OTHER OFFENSES,Wednesday,TENDERLOIN,400 Block of HYDE ST,-122.4162358524,37.7849125738
2015-05-13 19:11:00,LARCENY/THEFT,Wednesday,SOUTHERN,400 Block of BRANNAN ST,-122.3959859709,37.7788348206
2015-05-13 19:00:00,LARCENY/THEFT,Wednesday,SOUTHERN,400 Block of BRANNAN ST,-122.3959859709,37.7788348206
2015-05-13 19:00:00,LARCENY/THEFT,Wednesday,NORTHERN,2000 Block of SUTTER ST,-122.434121356,37.7860330497
2015-05-13 19:00:00,LARCENY/THEFT,Wednesday,BAYVIEW,100 Block of PAUL AV,-122.3971362174,37.7228049825
2015-05-13 19:00:00,VEHICLE THEFT,Wednesday,MISSION,26TH ST / GUERRERO ST,-122.4225723342,37.748774005
2015-05-13 19:00:00,LARCENY/THEFT,Wednesday,CENTRAL,STOCKTON ST / SUTTER ST,-122.4069586606,37.789434763
2015-05-13 18:58:00,WARRANTS,Wednesday,MISSION,1900 Block of MISSION ST,-122.4196766162,37.7658510977
2015-05-13 18:58:00,WARRANTS,Wednesday,MISSION,1900 Block of MISSION ST,-122.4196766162,37.7658510977
2015-05-13 18:55:00,NON-CRIMINAL,Wednesday,PARK,4600 Block of 18TH ST,-122.4424964876,37.7604858807
2015-05-13 18:45:00,LARCENY/THEFT,Wednesday,SOUTHERN,0 Block of FREELON ST,-122.3964114555,37.7791876147
2015-05-13 18:45:00,OTHER OFFENSES,Wednesday,MISSION,17TH ST / TREAT AV,-122.4135916956,37.7638222259
2015-05-13 18:45:00,NON-CRIMINAL,Wednesday,CENTRAL,PACIFIC AV / SANSOME ST,-122.4020425842,37.7975048898
2015-05-13 18:42:00,NON-CRIMINAL,Wednesday,NORTHERN,1900 Block of POLK ST,-122.4214269222,37.7946028272
2015-05-13 18:42:00,WEAPON LAWS,Wednesday,NORTHERN,1900 Block of POLK ST,-122.4214269222,37.7946028272
2015-05-13 18:39:00,OTHER OFFENSES,Wednesday,TENDERLOIN,200 Block of GOLDEN GATE AV,-122.4142633904,37.7817569848
2015-05-13 18:30:00,OTHER OFFENSES,Wednesday,INGLESIDE,3100 Block of HARRISON ST,-122.4115041507,37.747785907
2015-05-13 18:30:00,LARCENY/THEFT,Wednesday,PARK,1000 Block of SCOTT ST,-122.4369999072,37.7791621676
2015-05-13 18:30:00,LARCENY/THEFT,Wednesday,RICHMOND,1000 Block of POINTLOBOS AV,-122.5136420643,37.7784692199
2015-05-13 18:30:00,BURGLARY,Wednesday,BAYVIEW,1300 Block of FELTON ST,-122.4179379683,37.726605137
2015-05-13 18:30:00,LARCENY/THEFT,Wednesday,NORTHERN,1500 Block of FILLMORE ST,-122.4327438226,37.7838424506
2015-05-13 18:30:00,LARCENY/THEFT,Wednesday,CENTRAL,PINE ST / GRANT AV,-122.405744762,37.7914980828
2015-05-13 18:20:00,LARCENY/THEFT,Wednesday,NORTHERN,600 Block of VANNESS AV,-122.4206913867,37.7814832524
2015-05-13 18:16:00,NON-CRIMINAL,Wednesday,TENDERLOIN,400 Block of EDDY ST,-122.415088721,37.7836719564
2015-05-13 18:15:00,LARCENY/THEFT,Wednesday,TARAVAL,WESTPORTAL AV / VICENTE ST,-122.4669911121,37.7397231592
2015-05-13 18:15:00,LARCENY/THEFT,Wednesday,CENTRAL,GREENWICH ST / LEAVENWORTH ST,-122.4178006152,37.8012683839
2015-05-13 18:10:00,LARCENY/THEFT,Wednesday,CENTRAL,BAY ST / HYDE ST,-122.4201800013,37.8047896507
2015-05-13 18:05:00,LARCENY/THEFT,Wednesday,BAYVIEW,SAN BRUNO AV / BURROWS ST,-122.4040999298,37.7288373396
2015-05-13 18:02:00,OTHER OFFENSES,Wednesday,MISSION,25TH ST / SHOTWELL ST,-122.415014685,37.7508363917
2015-05-13 18:00:00,BURGLARY,Wednesday,SOUTHERN,0 Block of 6TH ST,-122.4095043094,37.7815262717
2015-05-13 18:00:00,LARCENY/THEFT,Wednesday,BAYVIEW,ILLINOIS ST / 20TH ST,-122.3875713063,37.7605499565
2015-05-13 18:00:00,LARCENY/THEFT,Wednesday,PARK,CASTRO ST / 16TH ST,-122.4353184233,37.7641020287
2015-05-13 18:00:00,LARCENY/THEFT,Wednesday,PARK,COLE ST / FULTON ST,-122.4513600612,37.7751741555
2015-05-13 18:00:00,LARCENY/THEFT,Wednesday,CENTRAL,LEAVENWORTH ST / BAY ST,-122.4185339724,37.804997735
2015-05-13 17:55:00,FORGERY/COUNTERFEITING,Wednesday,SOUTHERN,1200 Block of MARKET ST,-122.4154487596,37.7782935201
2015-05-13 17:55:00,FORGERY/COUNTERFEITING,Wednesday,SOUTHERN,1200 Block of MARKET ST,-122.4154487596,37.7782935201
2015-05-13 17:55:00,BURGLARY,Wednesday,SOUTHERN,1200 Block of MARKET ST,-122.4154487596,37.7782935201
2015-05-13 17:50:00,NON-CRIMINAL,Wednesday,CENTRAL,400 Block of GREEN ST,-122.4070086257,37.7996968892
2015-05-13 17:48:00,LARCENY/THEFT,Wednesday,NORTHERN,0 Block of DANIELBURNHAM CT,-122.4225405542,37.7869088658
2015-05-13 17:47:00,DRUG/NARCOTIC,Wednesday,BAYVIEW,0 Block of WHITFIELD CT,-122.3818379303,37.7311043532
2015-05-13 17:47:00,OTHER OFFENSES,Wednesday,BAYVIEW,0 Block of WHITFIELD CT,-122.3818379303,37.7311043532
2015-05-13 17:47:00,ASSAULT,Wednesday,BAYVIEW,0 Block of WHITFIELD CT,-122.3818379303,37.7311043532
2015-05-13 17:47:00,STOLEN PROPERTY,Wednesday,BAYVIEW,0 Block of WHITFIELD CT,-122.3818379303,37.7311043532
2015-05-13 17:45:00,SECONDARY CODES,Wednesday,CENTRAL,700 Block of GEARY ST,-122.4156326543,37.7863587808
2015-05-13 17:45:00,LARCENY/THEFT,Wednesday,RICHMOND,500 Block of JOHNFKENNEDY DR,-122.4662046679,37.7725405392
2015-05-13 17:45:00,OTHER OFFENSES,Wednesday,CENTRAL,700 Block of GEARY ST,-122.4156326543,37.7863587808
2015-05-13 17:40:00,ASSAULT,Wednesday,CENTRAL,1400 Block of STOCKTON ST,-122.409031506,37.7992531926
2015-05-13 17:40:00,LARCENY/THEFT,Wednesday,INGLESIDE,SAN JOSE AV / 29TH ST,-122.4226721924,37.7439432704
2015-05-13 17:37:00,WARRANTS,Wednesday,TENDERLOIN,EDDY ST / LEAVENWORTH ST,-122.4142429559,37.7837240254
2015-05-13 17:37:00,WARRANTS,Wednesday,TENDERLOIN,EDDY ST / LEAVENWORTH ST,-122.4142429559,37.7837240254
2015-05-13 17:35:00,NON-CRIMINAL,Wednesday,SOUTHERN,1300 Block of MISSION ST,-122.4156580748,37.7753924754
2015-05-13 17:30:00,LARCENY/THEFT,Wednesday,MISSION,2300 Block of MISSION ST,-122.4190588681,37.7594227506
2015-05-13 17:30:00,OTHER OFFENSES,Wednesday,INGLESIDE,CRESCENT AV / ANDOVER ST,-122.416824272,37.7348885156
2015-05-13 17:30:00,LARCENY/THEFT,Wednesday,SOUTHERN,11TH ST / HARRISON ST,-122.4124832635,37.7706305911
2015-05-13 17:28:00,OTHER OFFENSES,Wednesday,MISSION,23RD ST / VERMONT ST,-122.4035247952,37.7544534411
2015-05-13 17:27:00,TRESPASS,Wednesday,TENDERLOIN,100 Block of EDDY ST,-122.4101352364,37.7841889075
2015-05-13 17:20:00,BURGLARY,Wednesday,CENTRAL,600 Block of JONES ST,-122.4132984812,37.7870578243
2015-05-13 17:12:00,DRUG/NARCOTIC,Wednesday,SOUTHERN,6TH ST / NATOMA ST,-122.4076931085,37.7801630691
2015-05-13 17:07:00,VANDALISM,Wednesday,NORTHERN,1100 Block of FILLMORE ST,-122.4319795764,37.780047853
2015-05-13 17:00:00,VANDALISM,Wednesday,INGLESIDE,500 Block of TOMPKINS AV,-122.4131567031,37.7371067513
2015-05-13 17:00:00,OTHER OFFENSES,Wednesday,INGLESIDE,0 Block of BROOK ST,-122.4234664283,37.7407283718
2015-05-13 17:00:00,BURGLARY,Wednesday,NORTHERN,500 Block of GROVE ST,-122.4256351366,37.7774387764
2015-05-13 17:00:00,LARCENY/THEFT,Wednesday,CENTRAL,500 Block of NORTHPOINT ST,-122.416259619,37.8061861213
2015-05-13 17:00:00,LARCENY/THEFT,Wednesday,RICHMOND,400 Block of 39TH AV,-122.4997300868,37.7803500268
2015-05-13 17:00:00,VANDALISM,Wednesday,TENDERLOIN,LEAVENWORTH ST / EDDY ST,-122.4142429559,37.7837240254
2015-05-13 17:00:00,VEHICLE THEFT,Wednesday,MISSION,16TH ST / SANCHEZ ST,-122.4308825819,37.7643725577
2015-05-13 17:00:00,NON-CRIMINAL,Wednesday,TENDERLOIN,JONES ST / GEARY ST,-122.4131744944,37.7867190156
2015-05-13 16:50:00,ROBBERY,Wednesday,INGLESIDE,4600 Block of MISSION ST,-122.435041283,37.724256047
2015-05-13 16:50:00,FORGERY/COUNTERFEITING,Wednesday,INGLESIDE,400 Block of CORTLAND AV,-122.4174505489,37.7392070734
2015-05-13 16:47:00,TRESPASS,Wednesday,NORTHERN,100 Block of STEINER ST,-122.4319274706,37.7707315288
2015-05-13 16:46:00,LARCENY/THEFT,Wednesday,RICHMOND,500 Block of JOHNFKENNEDY DR,-122.4662046679,37.7725405392
2015-05-13 16:45:00,VANDALISM,Wednesday,CENTRAL,CALIFORNIA ST / STOCKTON ST,-122.4075397744,37.7922491773
2015-05-13 16:44:00,WARRANTS,Wednesday,SOUTHERN,4TH ST / MARKET ST,-122.4058324745,37.7857446546
2015-05-13 16:42:00,LARCENY/THEFT,Wednesday,PARK,2100 Block of FULTON ST,-122.4505558725,37.7753351819
2015-05-13 16:34:00,LARCENY/THEFT,Wednesday,SOUTHERN,HAWTHORNE ST / HARRISON ST,-122.3962658142,37.7834404321
2015-05-13 16:32:00,WARRANTS,Wednesday,CENTRAL,STOCKTON ST / BUSH ST,-122.4071521722,37.7903655795
2015-05-13 16:30:00,LARCENY/THEFT,Wednesday,MISSION,0 Block of DOLORES ST,-122.4265893526,37.7684121654
2015-05-13 16:30:00,OTHER OFFENSES,Wednesday,INGLESIDE,600 Block of NAPLES ST,-122.4330408446,37.718534522
2015-05-13 16:30:00,VEHICLE THEFT,Wednesday,NORTHERN,SUTTER ST / WEBSTER ST,-122.4315532002,37.7863039907
2015-05-13 16:20:00,LARCENY/THEFT,Wednesday,SOUTHERN,800 Block of BRYANT ST,-122.4034047915,37.7754207067
2015-05-13 16:20:00,MISSING PERSON,Wednesday,INGLESIDE,100 Block of PERSIA AV,-122.4347642867,37.7226161363
2015-05-13 16:15:00,OTHER OFFENSES,Wednesday,BAYVIEW,INDUSTRIAL ST / BARNEVELD AV,-122.404259582,37.7387127055
2015-05-13 16:10:00,SUSPICIOUS OCC,Wednesday,INGLESIDE,0 Block of TIFFANY AV,-122.4212287864,37.7452607747
2015-05-13 16:09:00,ROBBERY,Wednesday,SOUTHERN,0 Block of MAIN ST,-122.3957715668,37.7924309627
2015-05-13 16:02:00,ROBBERY,Wednesday,PARK,200 Block of UPPER TR,-122.4450692157,37.7628549658
2015-05-13 16:00:00,LARCENY/THEFT,Wednesday,CENTRAL,2200 Block of LEAVENWORTH ST,-122.4177714847,37.8015056603
2015-05-13 16:00:00,LARCENY/THEFT,Wednesday,RICHMOND,1000 Block of GREAT HY,-122.5102257491,37.767244221
2015-05-13 16:00:00,VANDALISM,Wednesday,BAYVIEW,100 Block of KISKA RD,-122.3759891581,37.7301576924
2015-05-13 16:00:00,VANDALISM,Wednesday,INGLESIDE,900 Block of ROCKDALE DR,-122.4545071986,37.7411133115
2015-05-13 16:00:00,LARCENY/THEFT,Wednesday,INGLESIDE,DELVALE AV / ENCLINE CT,-122.4478019779,37.7417697643
2015-05-13 15:58:00,VEHICLE THEFT,Wednesday,NORTHERN,2400 Block of CALIFORNIA ST,-122.4346893517,37.7888538411
2015-05-13 15:58:00,VEHICLE THEFT,Wednesday,NORTHERN,2400 Block of CALIFORNIA ST,-122.4346893517,37.7888538411
2015-05-13 15:50:00,OTHER OFFENSES,Wednesday,INGLESIDE,400 Block of EDINBURGH ST,-122.4313713141,37.7219675742
2015-05-13 15:46:00,NON-CRIMINAL,Wednesday,TENDERLOIN,0 Block of UNITEDNATIONS PZ,-122.4143178579,37.7799444052
2015-05-13 15:46:00,SUSPICIOUS OCC,Wednesday,SOUTHERN,7TH ST / MARKET ST,-122.4125153414,37.7804777481
2015-05-13 15:46:00,SECONDARY CODES,Wednesday,SOUTHERN,7TH ST / MARKET ST,-122.4125153414,37.7804777481
2015-05-13 15:45:00,NON-CRIMINAL,Wednesday,CENTRAL,800 Block of BAY ST,-122.4210242619,37.804729564
2015-05-13 15:40:00,ASSAULT,Wednesday,PARK,1700 Block of MCALLISTER ST,-122.4408795219,37.7775321935
2015-05-13 15:30:00,LARCENY/THEFT,Wednesday,CENTRAL,HYDE ST / LOMBARD ST,-122.4196161097,37.8019942438
2015-05-13 15:24:00,VANDALISM,Wednesday,BAYVIEW,1600 Block of 20TH ST,-122.3977467715,37.759992388
2015-05-13 15:23:00,MISSING PERSON,Wednesday,MISSION,900 Block of POTRERO AV,-122.4066049195,37.7571580432
2015-05-13 15:22:00,NON-CRIMINAL,Wednesday,BAYVIEW,1200 Block of CONNECTICUT ST,-122.3962703012,37.7504525016
2015-05-13 15:22:00,ASSAULT,Wednesday,BAYVIEW,1200 Block of CONNECTICUT ST,-122.3962703012,37.7504525016
2015-05-13 15:15:00,SUSPICIOUS OCC,Wednesday,TENDERLOIN,0 Block of POWELL ST,-122.4078453741,37.785094321
2015-05-13 15:15:00,LARCENY/THEFT,Wednesday,NORTHERN,1500 Block of FRANKLIN ST,-122.4238031035,37.7889657419
2015-05-13 15:00:00,VEHICLE THEFT,Wednesday,NORTHERN,2000 Block of CALIFORNIA ST,-122.4280876897,37.7895820616
2015-05-13 15:00:00,WARRANTS,Wednesday,BAYVIEW,1600 Block of UNDERWOOD AV,-122.3920651771,37.7299735987
2015-05-13 15:00:00,NON-CRIMINAL,Wednesday,TENDERLOIN,8TH ST / MARKET ST,-122.4147438354,37.7787192628
2015-05-13 15:00:00,SUSPICIOUS OCC,Wednesday,NORTHERN,FRANKLIN ST / HAYES ST,-122.4213326846,37.7770902744
2015-05-13 15:00:00,LARCENY/THEFT,Wednesday,TENDERLOIN,HYDE ST / MCALLISTER ST,-122.415317967,37.7807179286
2015-05-13 15:00:00,LARCENY/THEFT,Wednesday,CENTRAL,BEACH ST / POLK ST,-122.4238488137,37.806221427
2015-05-13 15:00:00,LARCENY/THEFT,Wednesday,NORTHERN,POST ST / WEBSTER ST,-122.4313697724,37.7853730435
2015-05-13 15:00:00,LARCENY/THEFT,Wednesday,SOUTHERN,MISSION ST / 5TH ST,-122.4064819727,37.7827317885
2015-05-13 14:45:00,BURGLARY,Wednesday,SOUTHERN,800 Block of FOLSOM ST,-122.4023436595,37.7811666838
2015-05-13 14:40:00,WARRANTS,Wednesday,TENDERLOIN,0 Block of GROVE ST,-122.4156424879,37.7788323159
2015-05-13 14:33:00,NON-CRIMINAL,Wednesday,SOUTHERN,1000 Block of MISSION ST,-122.4097951945,37.7800356268
2015-05-13 14:31:00,DRUG/NARCOTIC,Wednesday,PARK,1600 Block of HAIGHT ST,-122.4491229607,37.7697840925
2015-05-13 14:31:00,DRUG/NARCOTIC,Wednesday,PARK,1600 Block of HAIGHT ST,-122.4491229607,37.7697840925
2015-05-13 14:30:00,WARRANTS,Wednesday,NORTHERN,300 Block of MCALLISTER ST,-122.4177779326,37.7803089893
2015-05-13 14:30:00,VANDALISM,Wednesday,NORTHERN,300 Block of MCALLISTER ST,-122.4177779326,37.7803089893
2015-05-13 14:30:00,LARCENY/THEFT,Wednesday,RICHMOND,400 Block of JOHNFKENNEDY DR,-122.465208705,37.7726100501
2015-05-13 14:30:00,BURGLARY,Wednesday,INGLESIDE,700 Block of MIRAMAR AV,-122.4583427856,37.7297752678
2015-05-13 14:30:00,WARRANTS,Wednesday,SOUTHERN,800 Block of BRYANT ST,-122.4034047915,37.7754207067
2015-05-13 14:30:00,VEHICLE THEFT,Wednesday,RICHMOND,700 Block of 45TH AV,-122.5058834055,37.774368831
2015-05-13 14:27:00,NON-CRIMINAL,Wednesday,MISSION,3100 Block of 24TH ST,-122.4146344736,37.7525276231
2015-05-13 14:15:00,LARCENY/THEFT,Wednesday,TARAVAL,1700 Block of OCEAN AV,-122.4607094333,37.7249316978
2015-05-13 14:15:00,LARCENY/THEFT,Wednesday,TENDERLOIN,0 Block of OFARRELL ST,-122.4058953699,37.7867342185
2015-05-13 14:09:00,OTHER OFFENSES,Wednesday,SOUTHERN,6TH ST / NATOMA ST,-122.4076931085,37.7801630691
2015-05-13 14:09:00,OTHER OFFENSES,Wednesday,SOUTHERN,6TH ST / NATOMA ST,-122.4076931085,37.7801630691
2015-05-13 14:05:00,VANDALISM,Wednesday,NORTHERN,3600 Block of LYON ST,-122.4482784053,37.8042718879
2015-05-13 14:03:00,OTHER OFFENSES,Wednesday,INGLESIDE,29TH ST / SAN JOSE AV,-122.4226721924,37.7439432704
2015-05-13 14:03:00,WARRANTS,Wednesday,INGLESIDE,29TH ST / SAN JOSE AV,-122.4226721924,37.7439432704
2015-05-13 14:03:00,ASSAULT,Wednesday,INGLESIDE,29TH ST / SAN JOSE AV,-122.4226721924,37.7439432704
2015-05-13 14:00:00,VANDALISM,Wednesday,INGLESIDE,0 Block of ATHENS ST,-122.4242764754,37.7272929954
2015-05-13 14:00:00,NON-CRIMINAL,Wednesday,BAYVIEW,1200 Block of 3RD ST,-122.389517648,37.77246824
2015-05-13 14:00:00,TRESPASS,Wednesday,CENTRAL,300 Block of CLAY ST,-122.3997397291,37.7950325941
2015-05-13 14:00:00,ASSAULT,Wednesday,TENDERLOIN,0 Block of UNITEDNATIONS PZ,-122.4143178579,37.7799444052
2015-05-13 14:00:00,LARCENY/THEFT,Wednesday,RICHMOND,400 Block of JOHNFKENNEDY DR,-122.465208705,37.7726100501
2015-05-13 14:00:00,LARCENY/THEFT,Wednesday,RICHMOND,1000 Block of POINTLOBOS AV,-122.5136420643,37.7784692199
2015-05-13 14:00:00,LARCENY/THEFT,Wednesday,NORTHERN,1900 Block of SUTTER ST,-122.4318637739,37.7862086749
2015-05-13 14:00:00,BURGLARY,Wednesday,INGLESIDE,100 Block of MELROSE AV,-122.445069936,37.7337501007
2015-05-13 14:00:00,VEHICLE THEFT,Wednesday,INGLESIDE,100 Block of APPLETON AV,-122.4230712999,37.7385490451
2015-05-13 14:00:00,BURGLARY,Wednesday,TARAVAL,200 Block of CRESTLAKE DR,-122.4845456596,37.735112687
